participantID,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age
s31001,no warning,3.5,5,1.5,50,3,female,22
s31002,no warning,5.45,5.1,-0.35000000000000053,48,6,male,71
s31003,no warning,3.4,4.45,1.0500000000000003,46,2,female,32
s31004,warning,3.05,2.5,-0.5499999999999998,52,3,female,29
s31005,warning,4.45,5.75,1.2999999999999998,53,2,male,22
s31006,no warning,3.45,5.1,1.6499999999999995,57,8,female,50
s31007,no warning,4.5,5.75,1.25,34,2,other,27
s31008,no warning,3.95,4.9,0.9500000000000002,49,6,male,30
s31009,no warning,3.5,4.75,1.25,30,6,male,36
s31010,warning,3.45,3,-0.4500000000000002,60,4,male,21
s31011,warning,4.45,4.55,0.09999999999999964,39,5,female,25
s31012,no warning,3.85,4.3,0.44999999999999973,45,6,male,24
s31013,warning,3,3.4,0.3999999999999999,44,6,male,31
s31014,no warning,3.7,5.2,1.5,50,6,female,27
s31015,no warning,4.75,4.85,0.09999999999999964,45,6,male,25
s31016,no warning,3.2,4.35,1.1499999999999995,50,2,male,28
s31017,warning,3.8,4.6,0.7999999999999998,50,6,male,30
s31018,no warning,3.45,4.1,0.6499999999999995,46,8,male,30
s31019,warning,3.3,4.95,1.6500000000000004,44,3,female,27
s31020,warning,3.25,3.65,0.3999999999999999,48,6,female,40
s31021,no warning,3.75,5.25,1.5,45,6,male,47
s31022,no warning,2.3,1.95,-0.34999999999999987,45,6,male,47
s31023,no warning,4.1,5.25,1.1500000000000004,39,3,male,37
s31024,no warning,3.7,5.5,1.7999999999999998,51,6,female,29
s31025,warning,3.55,5.1,1.5499999999999998,46,3,male,29
s31026,warning,3.3,2.65,-0.6499999999999999,35,2,male,31
s31027,no warning,4.35,5.1,0.75,36,3,female,29
s31028,warning,3.1,3.35,0.25,47,8,male,35
s31029,no warning,3.35,4.8,1.4499999999999997,30,6,male,31
s31030,warning,3.45,4.2,0.75,37,2,male,45
s31031,warning,3.45,4.55,1.0999999999999996,45,6,male,25
s31032,warning,3.1,4.95,1.85,43,6,male,25
s31033,warning,3,3.2,0.20000000000000018,24,3,male,30
s31034,no warning,5.8,5.45,-0.34999999999999964,42,6,male,30
s31035,no warning,4,4.95,0.9500000000000002,56,6,female,59
s31036,warning,3.6,4.75,1.15,60,6,male,25
s31037,warning,3.7,3.35,-0.3500000000000001,42,5,male,31
s31038,warning,3.7,3.3,-0.40000000000000036,40,3,male,33
s31039,warning,6.25,6.35,0.09999999999999964,54,6,male,30
s31040,warning,3.4,3.45,0.050000000000000266,52,8,female,28
s31041,warning,3.45,4.7,1.25,47,5,female,45
s31042,warning,3.2,2.8,-0.40000000000000036,39,5,male,31
s31043,warning,3.8,5.05,1.25,20,3,female,27
s31044,no warning,3.95,4.65,0.7000000000000002,40,6,female,43
s31045,no warning,4.25,4.65,0.40000000000000036,46,3,male,35
s31046,no warning,3.3,3.7,0.40000000000000036,41,6,female,54
s31047,warning,4.8,4.95,0.15000000000000036,42,6,male,32
s31048,no warning,5.05,5.25,0.20000000000000018,49,6,female,29
s31049,warning,3.45,5.2,1.75,44,6,male,30
s31050,no warning,4.15,4.95,0.7999999999999998,39,6,female,31
s31051,warning,3,2.8,-0.20000000000000018,42,8,male,31
s31052,no warning,6.1,6.6,0.5,51,6,male,30
s31053,warning,3.95,4.1,0.14999999999999947,34,6,female,29
s31054,no warning,3.1,4.7,1.6,47,2,female,36
s31055,no warning,3.35,5.4,2.0500000000000003,36,6,female,32
s31056,no warning,5.95,5.95,0,41,6,male,30
s31057,warning,3.35,3.9,0.5499999999999998,41,8,female,28
s31058,warning,3.4,3.8,0.3999999999999999,45,8,male,34
s31059,no warning,4.95,4.45,-0.5,49,6,female,29
s31060,no warning,3.9,4.9,1.0000000000000004,42,6,male,35
s31061,warning,3.85,4.8,0.9499999999999997,49,8,male,26
s31062,no warning,5.55,5.65,0.10000000000000053,49,6,male,30
s31063,warning,5.65,5.8,0.14999999999999947,52,6,male,30
s31064,no warning,4.2,4.3,0.09999999999999964,30,6,female,25
s31065,warning,3.526315789473684,5.190476190476191,1.6641604010025066,52,6,female,28
s31066,no warning,6.15,5.85,-0.3000000000000007,49,6,male,30
s31067,warning,4.55,5.45,0.9000000000000004,48,6,female,31
s31068,warning,6.25,6.5,0.25,52,7,male,28
s31069,no warning,5.25,6.5,1.25,54,6,female,29
s31070,warning,2.9,3.3,0.3999999999999999,36,5,male,36
s31071,warning,3.7,4.45,0.75,31,3,male,34
s31072,no warning,3.25,3.6,0.3500000000000001,43,5,female,37
s31073,warning,3.7,4.75,1.0499999999999998,54,5,male,33
s31074,warning,3.7,3.95,0.25,38,6,female,37
s31075,warning,5,6,1,49,6,male,26
s31076,warning,3.35,3.65,0.2999999999999998,41,3,female,39
s31077,warning,4.65,4.4,-0.25,54,7,male,30
s31078,warning,2.85,3.1,0.25,39,3,female,50
s31079,no warning,5.3,5.15,-0.14999999999999947,45,6,female,25
s31080,warning,3.15,3.9,0.75,41,6,male,30
s31081,warning,3.7,3.75,0.04999999999999982,49,6,female,30
s31082,no warning,2.7,4.15,1.4500000000000002,48,8,female,34
s31083,warning,3.55,5.1,1.5499999999999998,52,3,female,28
s31084,warning,3.5,4.15,0.6500000000000004,37,3,male,33
s31085,warning,4.05,5,0.9500000000000002,47,3,female,31
s31086,no warning,3.05,4.65,1.6000000000000005,30,3,female,37
s31087,warning,4.15,3.15,-1.0000000000000004,45,3,male,26
s31088,no warning,3.45,5.2,1.75,40,2,male,41
s31089,warning,3.25,3.7,0.4500000000000002,35,6,male,31
s31090,no warning,4.75,4.3,-0.4500000000000002,34,7,female,31
s31091,no warning,3.9,4.65,0.7500000000000004,44,3,female,38
s31092,warning,3.9,4.35,0.44999999999999973,36,3,female,30
s31093,warning,3.3,5.3,2,56,2,male,22
s31094,no warning,3.95,5,1.0499999999999998,38,3,male,28
s31095,no warning,3.6,4.9,1.3000000000000003,38,6,female,31
s31096,warning,3.2,3.7,0.5,40,3,male,23
s31097,warning,4.8,5.5,0.7000000000000002,24,6,male,28
s31098,warning,3.95,4.6,0.6499999999999995,38,6,male,25
s31099,no warning,3.05,4.65,1.6000000000000005,47,2,male,39
s31100,warning,2.85,5.4,2.5500000000000003,60,6,male,24
s31101,warning,4.5,4.95,0.4500000000000002,38,6,male,27
s31102,warning,3.15,2.85,-0.2999999999999998,44,6,female,24
s31103,warning,3.15,4.2,1.0500000000000003,51,6,female,37
s31104,warning,3.75,3.75,0,44,6,male,31
s31105,no warning,3.6,4.55,0.9499999999999997,48,8,female,45
s31106,warning,3.5,4.1,0.5999999999999996,35,2,male,21
s31107,warning,4.05,4.8,0.75,43,6,female,37
s31108,warning,3.45,3.85,0.3999999999999999,30,3,female,36
s31109,no warning,3,5.05,2.05,55,6,female,34
s31110,warning,4.25,5.75,1.5,45,6,male,31
s31111,no warning,3.6,3.8,0.19999999999999973,55,6,male,38
s31112,no warning,4.15,4.8,0.6499999999999995,56,3,male,26
s31113,no warning,3.7,4.8,1.0999999999999996,23,6,male,30
s31114,warning,4.25,5.4,1.1500000000000004,57,6,male,28
s31115,warning,3.25,4.25,1,28,8,male,36
s31116,no warning,3.8,5.8,2,58,8,male,50
s31117,no warning,3.05,3.6,0.5500000000000003,39,8,female,26
s31118,no warning,3.55,4.55,1,46,5,female,29
s31119,warning,3.6,3.7,0.10000000000000009,32,5,male,36
