graphcode,Graph Title,Y axis label,X axis label,X axis order,Variable,Value,Source
1,River Lengths,miles,River,none,Mississippi River,2202,
1,River Lengths,miles,River,none,Yukon River,1979,
1,River Lengths,miles,River,none,Colorado River,1450,
1,River Lengths,miles,River,none,Rio Grande,1759,
1,River Lengths,miles,River,none,Missouri River,2341,
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,Africa,28,
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,Asia Pacific,27.5,
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,The Latin American and Caribbean States,17,
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,The Eastern European Group,12,
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,The Western European and Others Group,15,
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Mercury,87.97,
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Venus ,224.7,
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Earth,365.26,
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Mars,686.98,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1800,16,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1820,23,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1840,26,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1860,33,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1880,38,
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1900,45,
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Engineering,64891,
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Computer Science,61321,
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Social Sciences,34891,
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Education,34893,
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Healthcare,48712,
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Leisure,5.13,
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Eating,1.12,
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Working,4.6,
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Watching television,2.48,
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Household activities,1.8,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2005,87.9,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2006,88.7,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2007,89.1,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2008,86.9,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2009,85.6,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2010,84.3,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2011,85.1,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2012,86,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2013,86.9,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2014,88.9,
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2015,89,
8,Gestation Period Of Different Animals,days,Animal,none,Alpaca,345,
8,Gestation Period Of Different Animals,days,Animal,none,Elephant,645,
8,Gestation Period Of Different Animals,days,Animal,none,Bear,215,
8,Gestation Period Of Different Animals,days,Animal,none,Human,270,
9,Animal Weight,weight in kilograms,Animal,none,Cow,800,
9,Animal Weight,weight in kilograms,Animal,none,Brown Bear,482,
9,Animal Weight,weight in kilograms,Animal,none,Pig,150,
9,Animal Weight,weight in kilograms,Animal,none,Moose,620,
9,Animal Weight,weight in kilograms,Animal,none,Red Deer,240,
9,Animal Weight,weight in kilograms,Animal,none,Giraffe,900,
10,Airport Runway Lengths,feet,Airport,none,Nuremberg (NUE),8858,
10,Airport Runway Lengths,feet,Airport,none,Singapore (SIN),13123,
10,Airport Runway Lengths,feet,Airport,none,Lima (LIM),11506,
10,Airport Runway Lengths,feet,Airport,none,Chicago (ORD),13000,
10,Airport Runway Lengths,feet,Airport,none,Paris (CDG),13829,
11,Post Presidency Life-Span,days,President,none,Thomas Jefferson,6331,
11,Post Presidency Life-Span,days,President,none,Richard Nixon,7196,
11,Post Presidency Life-Span,days,President,none,Lyndon B. Johnson,1463,
11,Post Presidency Life-Span,days,President,none,George Washington,1015,
11,Post Presidency Life-Span,days,President,none,Theodore Roosevelt,3595,
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Japan,100,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,China,48,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Peru ,63,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,France,30,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Britain,75,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Russia,37,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Russia,55,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,China,43,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Turkey,42,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Poland,32,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Ukraine,45,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Thailand ,39,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Magic Kingdom at Walt Disney World,16,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Disneyland,15.5,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Tokyo Disneyland,14,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Disneyland Park,12,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Universal Studios Japan,8,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Sea World Florida,5,massviz targets
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Parcel Select,2.74,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Priority Mail,6.65,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Priority Mail Regional Rate,6.52,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,First-Class Package Service,2.61,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Ground Return Service,5.95,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Library Mail,2.5,https://www.usps.com/business/prices.htm
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Spain,32,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Portugal,30,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,United States,25,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Germany,16,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Canada,14,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Brazil,10,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Papua New Guinea,0.98,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Congo,0.95,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Israel,0.68,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Italy ,0.58,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,South Africa,0.87,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,India,0.95,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Nigeria,0.84,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Congo,215,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Australia,161,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Brazil,181,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,United States,188,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Mexico,291,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Philipines,171,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Peru ,1.3,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,United States,3.46,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Canada,1.35,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Britain,0.3,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,France,0.23,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Singapore,2.79,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Indonesia,7.67,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Australia,0.69,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,The Birds of America by John James Audubon,10.3,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,Les Liliacees by Pierre-Joseph Redoute,10.2,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,Bible in Latin,9,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,Don Quixote by Miguel de Cervantes,2.5,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,Declaration of Independence,2.8,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,First Folio by William Shakespeare,6.4,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Orange juice,56,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Sugar,22,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Soybeans,27,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Coffee,40,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Chickens,15,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Beef,18,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Hong Kong,5,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Mexico,6,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Canada,15,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Serbia,20,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Colombia,22,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Tanzania,28,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,United Kingdom,29,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Australia,42,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Brazil,30,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,France,31,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Australia,28,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Russia,27,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Saudi Arabia,21,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Less Than A High School Diploma,29848,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,High School Graduate,41288,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,"Some College, No Degree",46228,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Occupational Program,49920,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Associate Degree,52988,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Bachelor's Degree,71552,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Master's Degree,84448,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Doctoral Degree,102648,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Professional Degree,121212,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,SARS,9.6,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,MRSA,19.8,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,HIV (treated),20,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,Bird Flu,60,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,HIV (untreated),85,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,Tubercolosis,45.5,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,New York,0.7,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,Chicago,1.1,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,Washington DC,1.7,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,San Francisco,2.5,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,Minneapolis,3.8,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,Portland,3.9,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Aconcagua,22841,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Kilimanjaro,19340,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Everest,29035,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Vison Massif,16050,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Elbrus,18510,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Mt McKinley,20320,massviz targets
26,Elevation Of The World's Highest Peaks,feet,Mountain,none,Carstensz Pyramid,16024,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Unmet Contraceptive Need,5,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Iron Deficiency,4,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Alchol Use,3,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,High Blood Pressure,2.5,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Tobacco Use,2,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Obesity,1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Bangladesh,1.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Colombia,5.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Honduras,4.6,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,India,1.3,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Yemen,1.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Panama,6.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Nepal,1.7,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Lesotho,8.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Kenya,2.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Egypt,1.9,massviz targets
29,Drinking Water Coverage in 2010,coverage percentage,Regional Group,none,Oceania,54,massviz targets
29,Drinking Water Coverage in 2011,coverage percentage,Regional Group,none,Sub-Saharan Africa,61,massviz targets
29,Drinking Water Coverage in 2012,coverage percentage,Regional Group,none,Caucasus and Central Asia,87,massviz targets
29,Drinking Water Coverage in 2013,coverage percentage,Regional Group,none,South-Eastern Asia,88,massviz targets
29,Drinking Water Coverage in 2014,coverage percentage,Regional Group,none,Western Asia ,89,massviz targets
29,Drinking Water Coverage in 2015,coverage percentage,Regional Group,none,Southern Asia,90,massviz targets
29,Drinking Water Coverage in 2016,coverage percentage,Regional Group,none,Eastern Asia,91,massviz targets
29,Drinking Water Coverage in 2017,coverage percentage,Regional Group,none,Northern Africa,92,massviz targets
29,Drinking Water Coverage in 2018,coverage percentage,Regional Group,none,Latin America and the Caribbean,94,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,African Region,3,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Americas,16,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Eastern Mediterranean Region,7,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,European Region,17,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,South East Asian Region,10,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Western Pacific Region,13,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,African Region,57.3,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Americas,21.5,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Eastern Mediterranean Region,87.8,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,European Region,18.9,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,South East Asian Region,80.4,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Western Pacific Region,29.2,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Cirrhosis of the liver,16.6,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Road traffic accidents,11.9,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Liver cancer,8.2,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Violence,8,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Hypertensive heart disease,5.8,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Oesophagus cancer,7,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0,26,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.02,11,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.05,36,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.08,43,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High blood pressure,12.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High blood glucose,5.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Physical inactivity,5.5,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Overweight and obesity,4.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High cholesterol,4.5,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Low fruit and vegetable intake,2.9,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2005,7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2006,6.7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2007,4.8,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2008,3,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2009,2.7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2010,2.5,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2011,2.4,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,1999,450,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2001,370,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2003,380,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2005,310,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2007,480,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2009,580,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2011,800,massviz targets
37,Calories By Product,calories,Product,none,Tacobell Cantina Burrito,760,massviz targets
37,Calories By Product,calories,Product,none,Burger King Whopper,600,massviz targets
37,Calories By Product,calories,Product,none,Starbucks Frappuccino,450,massviz targets
37,Calories By Product,calories,Product,none,Panera Cinnamon Bagel,420,massviz targets
37,Calories By Product,calories,Product,none,Big Mac,550,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Malta,27.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Cyprus,17.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Greece,16.5,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Portugal,15.2,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Spain,14.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Austria,13.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Bulgaria,12.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Slovania,12.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Estonia,12.6,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Hungary,10.4,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Radio,68,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,CDs,62,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,YouTube,43,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,iTunes,28,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Pandora,32,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,TV,22,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Streaming radio,23,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Facebook,13,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Music Apps,12,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,SiriusXM,14,massviz targets
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2000,59,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2001,62,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2002,61,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2003,64,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2005,62,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2006,63,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2007,64,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2008,69,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2009,70,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2010,67,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
