"graphcode","Graph.Title","Y.axis.label","X.axis.label","X.axis.order","Variable","Value","Source"
1,"River Lengths","miles","River","none","Mississippi River",2202,NA
1,"River Lengths","miles","River","none","Yukon River",1979,NA
1,"River Lengths","miles","River","none","Missouri River",2341,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","Africa",28,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","Asia Pacific",27.5,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","The Latin American and Caribbean States",17,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Mercury",87.97,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Venus",224.7,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Earth",365.26,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Mars",686.98,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1840",26,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1860",33,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1880",38,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1900",45,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Engineering",64891,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Computer Science",61321,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Healthcare",48712,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Leisure",5.13,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Eating",1.12,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Working",4.6,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Watching television",2.48,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Household activities",1.8,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2011",85.1,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2012",86,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2013",86.9,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2014",88.9,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2015",89,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Alpaca",345,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Elephant",645,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Bear",215,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Human",270,NA
9,"Animal Weight","weight in kilograms","Animal","none","Cow",800,NA
9,"Animal Weight","weight in kilograms","Animal","none","Brown Bear",482,NA
9,"Animal Weight","weight in kilograms","Animal","none","Moose",620,NA
9,"Animal Weight","weight in kilograms","Animal","none","Giraffe",900,NA
10,"Airport Runway Lengths","feet","Airport","none","Singapore (SIN)",13123,NA
10,"Airport Runway Lengths","feet","Airport","none","Chicago (ORD)",13000,NA
10,"Airport Runway Lengths","feet","Airport","none","Paris (CDG)",13829,NA
11,"Post Presidency Life-Span","days","President","none","Thomas Jefferson",6331,NA
11,"Post Presidency Life-Span","days","President","none","Richard Nixon",7196,NA
11,"Post Presidency Life-Span","days","President","none","Lyndon B. Johnson",1463,NA
11,"Post Presidency Life-Span","days","President","none","Theodore Roosevelt",3595,NA
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Japan",100,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","China",48,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Peru",63,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Britain",75,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Russia",37,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Russia",55,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","China",43,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Turkey",42,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Ukraine",45,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Thailand",39,"massviz targets"
14,"Theme Park Attendance Worldwide","millions of people","theme park","none","Magic Kingdom at Walt Disney World",16,"massviz targets"
14,"Theme Park Attendance Worldwide","millions of people","theme park","none","Disneyland",15.5,"massviz targets"
14,"Theme Park Attendance Worldwide","millions of people","theme park","none","Tokyo Disneyland",14,"massviz targets"
14,"Theme Park Attendance Worldwide","millions of people","theme park","none","Disneyland Park",12,"massviz targets"
15,"Cost Of Sending Domestic Mail","price in US dollars","Service Title","none","Priority Mail",6.65,"https://www.usps.com/business/prices.htm"
15,"Cost Of Sending Domestic Mail","price in US dollars","Service Title","none","Priority Mail Regional Rate",6.52,"https://www.usps.com/business/prices.htm"
15,"Cost Of Sending Domestic Mail","price in US dollars","Service Title","none","Ground Return Service",5.95,"https://www.usps.com/business/prices.htm"
16,"Deceased Organ Donor Rates Per Million Population","donors per million population","countries","none","Spain",32,"massviz targets"
16,"Deceased Organ Donor Rates Per Million Population","donors per million population","countries","none","Portugal",30,"massviz targets"
16,"Deceased Organ Donor Rates Per Million Population","donors per million population","countries","none","United States",25,"massviz targets"
16,"Deceased Organ Donor Rates Per Million Population","donors per million population","countries","none","Germany",16,"massviz targets"
16,"Deceased Organ Donor Rates Per Million Population","donors per million population","countries","none","Canada",14,"massviz targets"
17,"Language Diversity","Greenberg's Diversity Index","countries","none","Papua New Guinea",0.98,"massviz targets"
17,"Language Diversity","Greenberg's Diversity Index","countries","none","Congo",0.95,"massviz targets"
17,"Language Diversity","Greenberg's Diversity Index","countries","none","South Africa",0.87,"massviz targets"
17,"Language Diversity","Greenberg's Diversity Index","countries","none","India",0.95,"massviz targets"
18,"Language Diversity","number of indigenous languages spoken","countries","none","Congo",215,"massviz targets"
18,"Language Diversity","number of indigenous languages spoken","countries","none","United States",188,"massviz targets"
18,"Language Diversity","number of indigenous languages spoken","countries","none","Mexico",291,"massviz targets"
19,"Chinese Outside Of Mainland China","millions of Chinese","countries","none","United States",3.46,"massviz targets"
19,"Chinese Outside Of Mainland China","millions of Chinese","countries","none","Singapore",2.79,"massviz targets"
19,"Chinese Outside Of Mainland China","millions of Chinese","countries","none","Indonesia",7.67,"massviz targets"
20,"Price of Book Titles Sold At Auction","millions of dollars","book","none","The Birds of America by John James Audubon",10.3,"massviz targets"
20,"Price of Book Titles Sold At Auction","millions of dollars","book","none","Les Liliacees by Pierre-Joseph Redoute",10.2,"massviz targets"
20,"Price of Book Titles Sold At Auction","millions of dollars","book","none","Bible in Latin",9,"massviz targets"
20,"Price of Book Titles Sold At Auction","millions of dollars","book","none","First Folio by William Shakespeare",6.4,"massviz targets"
21,"Brazil's Agriculture","percentage of world share","Production of product","none","Orange juice",56,"massviz targets"
21,"Brazil's Agriculture","percentage of world share","Production of product","none","Soybeans",27,"massviz targets"
21,"Brazil's Agriculture","percentage of world share","Production of product","none","Coffee",40,"massviz targets"
22,"Mandatory Employment Leave","number of calendar days","countries","none","Australia",42,"massviz targets"
22,"Mandatory Employment Leave","number of calendar days","countries","none","Brazil",30,"massviz targets"
22,"Mandatory Employment Leave","number of calendar days","countries","none","France",31,"massviz targets"
23,"Earnings By Education Level","mean earnings","level of education completed","none","Bachelor's Degree",71552,"massviz targets"
23,"Earnings By Education Level","mean earnings","level of education completed","none","Master's Degree",84448,"massviz targets"
23,"Earnings By Education Level","mean earnings","level of education completed","none","Doctoral Degree",102648,"massviz targets"
23,"Earnings By Education Level","mean earnings","level of education completed","none","Professional Degree",121212,"massviz targets"
24,"Disease Fatality Rates","fatality rate","disease","none","HIV (treated)",20,"massviz targets"
24,"Disease Fatality Rates","fatality rate","disease","none","Bird Flu",60,"massviz targets"
24,"Disease Fatality Rates","fatality rate","disease","none","HIV (untreated)",85,"massviz targets"
24,"Disease Fatality Rates","fatality rate","disease","none","Tubercolosis",45.5,"massviz targets"
25,"Percentage Of People Who Commute By Bike","percentage","city","none","San Francisco",2.5,"massviz targets"
25,"Percentage Of People Who Commute By Bike","percentage","city","none","Minneapolis",3.8,"massviz targets"
25,"Percentage Of People Who Commute By Bike","percentage","city","none","Portland",3.9,"massviz targets"
26,"Elevation Of The World's Highest Peaks","feet","Mountain","none","Aconcagua",22841,"massviz targets"
26,"Elevation Of The World's Highest Peaks","feet","Mountain","none","Kilimanjaro",19340,"massviz targets"
26,"Elevation Of The World's Highest Peaks","feet","Mountain","none","Everest",29035,"massviz targets"
26,"Elevation Of The World's Highest Peaks","feet","Mountain","none","Mt McKinley",20320,"massviz targets"
27,"Deaths In Women by Leading Risk Factors","percentage of deaths","Risk factor","none","Unmet Contraceptive Need",5,"massviz targets"
27,"Deaths In Women by Leading Risk Factors","percentage of deaths","Risk factor","none","Iron Deficiency",4,"massviz targets"
27,"Deaths In Women by Leading Risk Factors","percentage of deaths","Risk factor","none","Alchol Use",3,"massviz targets"
27,"Deaths In Women by Leading Risk Factors","percentage of deaths","Risk factor","none","High Blood Pressure",2.5,"massviz targets"
27,"Deaths In Women by Leading Risk Factors","percentage of deaths","Risk factor","none","Tobacco Use",2,"massviz targets"
28,"Government Expenditure On Health","percentage of GDP","Country","none","Colombia",5.4,"massviz targets"
28,"Government Expenditure On Health","percentage of GDP","Country","none","Panama",6.1,"massviz targets"
28,"Government Expenditure On Health","percentage of GDP","Country","none","Lesotho",8.4,"massviz targets"
29,"Drinking Water Coverage in 2015","coverage percentage","Regional Group","none","Southern Asia",90,"massviz targets"
29,"Drinking Water Coverage in 2016","coverage percentage","Regional Group","none","Eastern Asia",91,"massviz targets"
29,"Drinking Water Coverage in 2017","coverage percentage","Regional Group","none","Northern Africa",92,"massviz targets"
29,"Drinking Water Coverage in 2018","coverage percentage","Regional Group","none","Latin America and the Caribbean",94,"massviz targets"
30,"Deaths Attributable To Tobacco","percentage of dealths","Regional Group","none","Americas",16,"massviz targets"
30,"Deaths Attributable To Tobacco","percentage of dealths","Regional Group","none","European Region",17,"massviz targets"
30,"Deaths Attributable To Tobacco","percentage of dealths","Regional Group","none","South East Asian Region",10,"massviz targets"
30,"Deaths Attributable To Tobacco","percentage of dealths","Regional Group","none","Western Pacific Region",13,"massviz targets"
31,"Prevalence Of Alcohol Abstention","percentage of lifetime absteiners","Regional Group","none","African Region",57.3,"massviz targets"
31,"Prevalence Of Alcohol Abstention","percentage of lifetime absteiners","Regional Group","none","Eastern Mediterranean Region",87.8,"massviz targets"
31,"Prevalence Of Alcohol Abstention","percentage of lifetime absteiners","Regional Group","none","South East Asian Region",80.4,"massviz targets"
32,"Global Alcohol-Attributable Deaths By Disease And Injury","percentage of alcohol attributable deaths","Disorder or injury","none","Cirrhosis of the liver",16.6,"massviz targets"
32,"Global Alcohol-Attributable Deaths By Disease And Injury","percentage of alcohol attributable deaths","Disorder or injury","none","Road traffic accidents",11.9,"massviz targets"
32,"Global Alcohol-Attributable Deaths By Disease And Injury","percentage of alcohol attributable deaths","Disorder or injury","none","Liver cancer",8.2,"massviz targets"
32,"Global Alcohol-Attributable Deaths By Disease And Injury","percentage of alcohol attributable deaths","Disorder or injury","none","Violence",8,"massviz targets"
33,"Blood Alcohol Concentration (BAC) Limits For Commercial Drivers","number of countries","BAC limit for commercial drivers (%)","ordered","0",26,"massviz targets"
33,"Blood Alcohol Concentration (BAC) Limits For Commercial Drivers","number of countries","BAC limit for commercial drivers (%)","ordered","0.02",11,"massviz targets"
33,"Blood Alcohol Concentration (BAC) Limits For Commercial Drivers","number of countries","BAC limit for commercial drivers (%)","ordered","0.05",36,"massviz targets"
33,"Blood Alcohol Concentration (BAC) Limits For Commercial Drivers","number of countries","BAC limit for commercial drivers (%)","ordered","0.08",43,"massviz targets"
34,"Deaths Attributable To Diet-Related Risks And Physical Inactivity","percentage of deaths","Risk factor","none","High blood pressure",12.8,"massviz targets"
34,"Deaths Attributable To Diet-Related Risks And Physical Inactivity","percentage of deaths","Risk factor","none","High blood glucose",5.8,"massviz targets"
34,"Deaths Attributable To Diet-Related Risks And Physical Inactivity","percentage of deaths","Risk factor","none","Physical inactivity",5.5,"massviz targets"
34,"Deaths Attributable To Diet-Related Risks And Physical Inactivity","percentage of deaths","Risk factor","none","Overweight and obesity",4.8,"massviz targets"
34,"Deaths Attributable To Diet-Related Risks And Physical Inactivity","percentage of deaths","Risk factor","none","High cholesterol",4.5,"massviz targets"
35,"Home-Loan Purchases","millions of home purchases","Year","ordered","2008",3,"massviz targets"
35,"Home-Loan Purchases","millions of home purchases","Year","ordered","2009",2.7,"massviz targets"
35,"Home-Loan Purchases","millions of home purchases","Year","ordered","2010",2.5,"massviz targets"
35,"Home-Loan Purchases","millions of home purchases","Year","ordered","2011",2.4,"massviz targets"
36,"People Who Have Died As A Result Of Police Action In South Africa","number of people","Year","ordered","2003",380,"massviz targets"
36,"People Who Have Died As A Result Of Police Action In South Africa","number of people","Year","ordered","2005",310,"massviz targets"
36,"People Who Have Died As A Result Of Police Action In South Africa","number of people","Year","ordered","2007",480,"massviz targets"
36,"People Who Have Died As A Result Of Police Action In South Africa","number of people","Year","ordered","2009",580,"massviz targets"
36,"People Who Have Died As A Result Of Police Action In South Africa","number of people","Year","ordered","2011",800,"massviz targets"
37,"Calories By Product","calories","Product","none","Tacobell Cantina Burrito",760,"massviz targets"
37,"Calories By Product","calories","Product","none","Burger King Whopper",600,"massviz targets"
37,"Calories By Product","calories","Product","none","Big Mac",550,"massviz targets"
38,"Travel Bookings As A Percentage Of GDP","percentage of GDP","country","none","Malta",27.7,"massviz targets"
38,"Travel Bookings As A Percentage Of GDP","percentage of GDP","country","none","Cyprus",17.7,"massviz targets"
38,"Travel Bookings As A Percentage Of GDP","percentage of GDP","country","none","Greece",16.5,"massviz targets"
39,"Adults Listening To Music By Platform","percentage of adults","Platform","none","Radio",68,"massviz targets"
39,"Adults Listening To Music By Platform","percentage of adults","Platform","none","CDs",62,"massviz targets"
39,"Adults Listening To Music By Platform","percentage of adults","Platform","none","YouTube",43,"massviz targets"
39,"Adults Listening To Music By Platform","percentage of adults","Platform","none","iTunes",28,"massviz targets"
39,"Adults Listening To Music By Platform","percentage of adults","Platform","none","Pandora",32,"massviz targets"
40,"American Customer Satisfaction Index Scores of McDonald's Restaurants","American Customer Satisfaction Index scores","Year","ordered","2014",71,"https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/"
40,"American Customer Satisfaction Index Scores of McDonald's Restaurants","American Customer Satisfaction Index scores","Year","ordered","2015",67,"https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/"
40,"American Customer Satisfaction Index Scores of McDonald's Restaurants","American Customer Satisfaction Index scores","Year","ordered","2016",69,"https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/"
41,"Computer Game Sales by Genre","percentage of units sold","Genre","none","Strategy",36.4,"https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/"
41,"Computer Game Sales by Genre","percentage of units sold","Genre","none","Casual",25.8,"https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/"
41,"Computer Game Sales by Genre","percentage of units sold","Genre","none","Role-playing",18.7,"https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/"
41,"Computer Game Sales by Genre","percentage of units sold","Genre","none","Shooter",9.3,"https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/"
41,"Computer Game Sales by Genre","percentage of units sold","Genre","none","Adventure",7.9,"https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/"
42,"Distribution Of Beauty Content Videos On YouTube","percentage of videos","Category","none","Routine",7.2,"https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/"
42,"Distribution Of Beauty Content Videos On YouTube","percentage of videos","Category","none","News",6,"https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/"
42,"Distribution Of Beauty Content Videos On YouTube","percentage of videos","Category","none","Product Demo",5.5,"https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/"
42,"Distribution Of Beauty Content Videos On YouTube","percentage of videos","Category","none","Look",5.8,"https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/"
42,"Distribution Of Beauty Content Videos On YouTube","percentage of videos","Category","none","Other",7,"https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/"
43,"Online Pet Products Sales In The United States","sales in billions of dollars","Year","ordered","2013",1.48,"https://www.statista.com/statistics/297267/us-pet-products-online-sales/"
43,"Online Pet Products Sales In The United States","sales in billions of dollars","Year","ordered","2014",1.66,"https://www.statista.com/statistics/297267/us-pet-products-online-sales/"
43,"Online Pet Products Sales In The United States","sales in billions of dollars","Year","ordered","2015",1.86,"https://www.statista.com/statistics/297267/us-pet-products-online-sales/"
44,"Global Smartphone Shipments","shipments in million units","Year","ordered","2013",1018.7,"https://www.statista.com/statistics/271491/worldwide-shipments-of-smartphones-since-2009/"
44,"Global Smartphone Shipments","shipments in million units","Year","ordered","2014",1301.7,"https://www.statista.com/statistics/271491/worldwide-shipments-of-smartphones-since-2009/"
44,"Global Smartphone Shipments","shipments in million units","Year","ordered","2015",1437.2,"https://www.statista.com/statistics/271491/worldwide-shipments-of-smartphones-since-2009/"
44,"Global Smartphone Shipments","shipments in million units","Year","ordered","2016",1470.6,"https://www.statista.com/statistics/271491/worldwide-shipments-of-smartphones-since-2009/"
45,"Best-Paid Actors Worldwide In 2017","annual income in million U.S. dollars","actor","none","Mark Wahlberg",68,"https://www.statista.com/statistics/451516/best-paid-actors/"
45,"Best-Paid Actors Worldwide In 2018","annual income in million U.S. dollars","actor","none","Dwayne Johnson",65,"https://www.statista.com/statistics/451516/best-paid-actors/"
45,"Best-Paid Actors Worldwide In 2019","annual income in million U.S. dollars","actor","none","Vin Diesel",54.5,"https://www.statista.com/statistics/451516/best-paid-actors/"
45,"Best-Paid Actors Worldwide In 2020","annual income in million U.S. dollars","actor","none","Adam Sandler",50.5,"https://www.statista.com/statistics/451516/best-paid-actors/"
45,"Best-Paid Actors Worldwide In 2021","annual income in million U.S. dollars","actor","none","Jackie Chan",49,"https://www.statista.com/statistics/451516/best-paid-actors/"
46,"Number Of 3D Cinema Screens Worldwide","number of screens","Year","ordered","2012",45546,"https://www.statista.com/statistics/271863/number-of-3d-cinema-screens-worldwide/"
46,"Number Of 3D Cinema Screens Worldwide","number of screens","Year","ordered","2013",53069,"https://www.statista.com/statistics/271863/number-of-3d-cinema-screens-worldwide/"
46,"Number Of 3D Cinema Screens Worldwide","number of screens","Year","ordered","2014",64788,"https://www.statista.com/statistics/271863/number-of-3d-cinema-screens-worldwide/"
46,"Number Of 3D Cinema Screens Worldwide","number of screens","Year","ordered","2015",74562,"https://www.statista.com/statistics/271863/number-of-3d-cinema-screens-worldwide/"
46,"Number Of 3D Cinema Screens Worldwide","number of screens","Year","ordered","2016",87176,"https://www.statista.com/statistics/271863/number-of-3d-cinema-screens-worldwide/"
47,"Net Profit Of Airlines Worldwide","billion U.S. dollars","Year","ordered","2013",10.7,"https://www.statista.com/statistics/268330/profit-of-airlines-worldwide/"
47,"Net Profit Of Airlines Worldwide","billion U.S. dollars","Year","ordered","2014",13.7,"https://www.statista.com/statistics/268330/profit-of-airlines-worldwide/"
47,"Net Profit Of Airlines Worldwide","billion U.S. dollars","Year","ordered","2015",35.9,"https://www.statista.com/statistics/268330/profit-of-airlines-worldwide/"
47,"Net Profit Of Airlines Worldwide","billion U.S. dollars","Year","ordered","2016",34.8,"https://www.statista.com/statistics/268330/profit-of-airlines-worldwide/"
48,"Which Type Of Yoga Do You Do?","percentage of respondents","type of yoga","none","Acro Yoga",24,"https://www.statista.com/statistics/639286/popular-types-of-yoga-in-us/"
48,"Which Type Of Yoga Do You Do?","percentage of respondents","type of yoga","none","Wellness Yoga",24,"https://www.statista.com/statistics/639286/popular-types-of-yoga-in-us/"
48,"Which Type Of Yoga Do You Do?","percentage of respondents","type of yoga","none","Power Yoga",17,"https://www.statista.com/statistics/639286/popular-types-of-yoga-in-us/"
48,"Which Type Of Yoga Do You Do?","percentage of respondents","type of yoga","none","Anusara Yoga",14,"https://www.statista.com/statistics/639286/popular-types-of-yoga-in-us/"
48,"Which Type Of Yoga Do You Do?","percentage of respondents","type of yoga","none","Bikram Yoga",10,"https://www.statista.com/statistics/639286/popular-types-of-yoga-in-us/"
49,"Brand Value Of Beer Brands Worldwide","value in million US dollars","Beer brand","none","Budweiser",14727,"https://www.statista.com/statistics/267937/brand-value-of-the-leading-10-beer-brands-worldwide/"
49,"Brand Value Of Beer Brands Worldwide","value in million US dollars","Beer brand","none","Bud Light",13198,"https://www.statista.com/statistics/267937/brand-value-of-the-leading-10-beer-brands-worldwide/"
49,"Brand Value Of Beer Brands Worldwide","value in million US dollars","Beer brand","none","Heineken",10549,"https://www.statista.com/statistics/267937/brand-value-of-the-leading-10-beer-brands-worldwide/"
50,"Which Flavors Of Bubble Gum Does The US Population Chew Most Often?","number of consumers in millions","Flavor","none","Spearmint",72.23,"https://www.statista.com/statistics/276032/us-households-most-chewed-flavors-of-chewing-gum--bubble-gum-2013/"
50,"Which Flavors Of Bubble Gum Does The US Population Chew Most Often?","number of consumers in millions","Flavor","none","Peppermint",70.79,"https://www.statista.com/statistics/276032/us-households-most-chewed-flavors-of-chewing-gum--bubble-gum-2013/"
50,"Which Flavors Of Bubble Gum Does The US Population Chew Most Often?","number of consumers in millions","Flavor","none","Wintergreen",53.74,"https://www.statista.com/statistics/276032/us-households-most-chewed-flavors-of-chewing-gum--bubble-gum-2013/"
50,"Which Flavors Of Bubble Gum Does The US Population Chew Most Often?","number of consumers in millions","Flavor","none","Fruit flavors",42.7,"https://www.statista.com/statistics/276032/us-households-most-chewed-flavors-of-chewing-gum--bubble-gum-2013/"
50,"Which Flavors Of Bubble Gum Does The US Population Chew Most Often?","number of consumers in millions","Flavor","none","Cinnamon",30.84,"https://www.statista.com/statistics/276032/us-households-most-chewed-flavors-of-chewing-gum--bubble-gum-2013/"
51,"Total Paid Attendance At NCAA College Basketball Tournament Games","paid attendance in thousands","Year","ordered","2009",697,"https://www.statista.com/statistics/219650/ncaa-basketball-tournament-games-total-attendance/"
