participantID,group,graphliteracy_question,rating
s21001,B,1,4
s21001,B,2,4
s21001,B,3,5
s21001,B,4,4
s21001,B,5,5
s21001,B,6,4
s21001,B,7,4
s21001,B,8,3
s21001,B,9,4
s21001,B,10,5
s21002,A,1,5
s21002,A,2,4
s21002,A,3,5
s21002,A,4,5
s21002,A,5,5
s21002,A,6,3
s21002,A,7,4
s21002,A,8,5
s21002,A,9,6
s21002,A,10,6
s21003,B,1,6
s21003,B,2,6
s21003,B,3,6
s21003,B,4,6
s21003,B,5,6
s21003,B,6,6
s21003,B,7,5
s21003,B,8,6
s21003,B,9,4
s21003,B,10,5
s21004,B,1,6
s21004,B,2,6
s21004,B,3,6
s21004,B,4,6
s21004,B,5,5
s21004,B,6,5
s21004,B,7,5
s21004,B,8,5
s21004,B,9,5
s21004,B,10,4
s21005,B,1,6
s21005,B,2,6
s21005,B,3,6
s21005,B,4,5
s21005,B,5,5
s21005,B,6,5
s21005,B,7,6
s21005,B,8,5
s21005,B,9,6
s21005,B,10,5
s21006,B,1,5
s21006,B,2,6
s21006,B,3,5
s21006,B,4,5
s21006,B,5,6
s21006,B,6,5
s21006,B,7,6
s21006,B,8,6
s21006,B,9,5
s21006,B,10,5
s21007,B,1,4
s21007,B,2,3
s21007,B,3,5
s21007,B,4,4
s21007,B,5,4
s21007,B,6,4
s21007,B,7,3
s21007,B,8,6
s21007,B,9,6
s21007,B,10,4
s21008,B,1,4
s21008,B,2,4
s21008,B,3,4
s21008,B,4,3
s21008,B,5,3
s21008,B,6,5
s21008,B,7,5
s21008,B,8,5
s21008,B,9,5
s21008,B,10,6
s21009,A,1,5
s21009,A,2,5
s21009,A,3,5
s21009,A,4,5
s21009,A,5,5
s21009,A,6,5
s21009,A,7,5
s21009,A,8,4
s21009,A,9,5
s21009,A,10,5
s21010,A,1,4
s21010,A,2,4
s21010,A,3,4
s21010,A,4,3
s21010,A,5,4
s21010,A,6,2
s21010,A,7,2
s21010,A,8,3
s21010,A,9,2
s21010,A,10,4
s21011,B,1,5
s21011,B,2,6
s21011,B,3,5
s21011,B,4,5
s21011,B,5,6
s21011,B,6,4
s21011,B,7,5
s21011,B,8,6
s21011,B,9,5
s21011,B,10,6
s21012,A,1,2
s21012,A,2,2
s21012,A,3,3
s21012,A,4,2
s21012,A,5,3
s21012,A,6,3
s21012,A,7,2
s21012,A,8,3
s21012,A,9,3
s21012,A,10,3
s21013,A,1,3
s21013,A,2,3
s21013,A,3,4
s21013,A,4,4
s21013,A,5,4
s21013,A,6,3
s21013,A,7,4
s21013,A,8,4
s21013,A,9,4
s21013,A,10,4
s21014,A,1,6
s21014,A,2,6
s21014,A,3,6
s21014,A,4,5
s21014,A,5,6
s21014,A,6,5
s21014,A,7,6
s21014,A,8,4
s21014,A,9,6
s21014,A,10,6
s21015,B,1,3
s21015,B,2,3
s21015,B,3,4
s21015,B,4,4
s21015,B,5,4
s21015,B,6,4
s21015,B,7,3
s21015,B,8,5
s21015,B,9,5
s21015,B,10,5
s21016,B,1,5
s21016,B,2,5
s21016,B,3,5
s21016,B,4,5
s21016,B,5,5
s21016,B,6,5
s21016,B,7,3
s21016,B,8,5
s21016,B,9,5
s21016,B,10,5
s21017,A,1,3
s21017,A,2,3
s21017,A,3,2
s21017,A,4,4
s21017,A,5,3
s21017,A,6,3
s21017,A,7,3
s21017,A,8,4
s21017,A,9,3
s21017,A,10,4
s21018,B,1,6
s21018,B,2,6
s21018,B,3,6
s21018,B,4,6
s21018,B,5,6
s21018,B,6,3
s21018,B,7,6
s21018,B,8,6
s21018,B,9,6
s21018,B,10,6
s21019,A,1,2
s21019,A,2,2
s21019,A,3,3
s21019,A,4,3
s21019,A,5,3
s21019,A,6,2
s21019,A,7,3
s21019,A,8,4
s21019,A,9,4
s21019,A,10,4
s21020,A,1,5
s21020,A,2,5
s21020,A,3,5
s21020,A,4,6
s21020,A,5,6
s21020,A,6,4
s21020,A,7,6
s21020,A,8,6
s21020,A,9,6
s21020,A,10,6
s21021,A,1,5
s21021,A,2,5
s21021,A,3,5
s21021,A,4,5
s21021,A,5,5
s21021,A,6,4
s21021,A,7,1
s21021,A,8,6
s21021,A,9,5
s21021,A,10,6
s21022,A,1,4
s21022,A,2,4
s21022,A,3,2
s21022,A,4,4
s21022,A,5,4
s21022,A,6,1
s21022,A,7,4
s21022,A,8,4
s21022,A,9,6
s21022,A,10,3
s21023,B,1,4
s21023,B,2,2
s21023,B,3,5
s21023,B,4,4
s21023,B,5,5
s21023,B,6,2
s21023,B,7,3
s21023,B,8,5
s21023,B,9,1
s21023,B,10,4
s21024,A,1,5
s21024,A,2,5
s21024,A,3,5
s21024,A,4,5
s21024,A,5,6
s21024,A,6,6
s21024,A,7,6
s21024,A,8,6
s21024,A,9,6
s21024,A,10,6
s21025,A,1,2
s21025,A,2,2
s21025,A,3,3
s21025,A,4,3
s21025,A,5,3
s21025,A,6,2
s21025,A,7,4
s21025,A,8,4
s21025,A,9,6
s21025,A,10,4
s21026,B,1,5
s21026,B,2,4
s21026,B,3,4
s21026,B,4,5
s21026,B,5,4
s21026,B,6,4
s21026,B,7,6
s21026,B,8,6
s21026,B,9,6
s21026,B,10,6
s21027,A,1,5
s21027,A,2,4
s21027,A,3,5
s21027,A,4,5
s21027,A,5,5
s21027,A,6,4
s21027,A,7,4
s21027,A,8,6
s21027,A,9,4
s21027,A,10,5
s21028,B,1,4
s21028,B,2,5
s21028,B,3,3
s21028,B,4,4
s21028,B,5,5
s21028,B,6,5
s21028,B,7,5
s21028,B,8,6
s21028,B,9,4
s21028,B,10,6
s21029,B,1,3
s21029,B,2,2
s21029,B,3,3
s21029,B,4,3
s21029,B,5,4
s21029,B,6,4
s21029,B,7,3
s21029,B,8,4
s21029,B,9,5
s21029,B,10,4
s21030,A,1,2
s21030,A,2,3
s21030,A,3,4
s21030,A,4,5
s21030,A,5,4
s21030,A,6,3
s21030,A,7,3
s21030,A,8,5
s21030,A,9,3
s21030,A,10,4
s21031,A,1,5
s21031,A,2,6
s21031,A,3,4
s21031,A,4,5
s21031,A,5,4
s21031,A,6,5
s21031,A,7,1
s21031,A,8,4
s21031,A,9,4
s21031,A,10,3
s21032,A,1,3
s21032,A,2,3
s21032,A,3,3
s21032,A,4,3
s21032,A,5,4
s21032,A,6,4
s21032,A,7,3
s21032,A,8,1
s21032,A,9,4
s21032,A,10,4
s21033,B,1,3
s21033,B,2,3
s21033,B,3,3
s21033,B,4,3
s21033,B,5,3
s21033,B,6,3
s21033,B,7,3
s21033,B,8,4
s21033,B,9,4
s21033,B,10,4
s21034,B,1,5
s21034,B,2,5
s21034,B,3,5
s21034,B,4,5
s21034,B,5,5
s21034,B,6,4
s21034,B,7,6
s21034,B,8,6
s21034,B,9,5
s21034,B,10,6
s21035,A,1,5
s21035,A,2,5
s21035,A,3,4
s21035,A,4,5
s21035,A,5,5
s21035,A,6,5
s21035,A,7,6
s21035,A,8,6
s21035,A,9,6
s21035,A,10,6
s21036,A,1,5
s21036,A,2,5
s21036,A,3,5
s21036,A,4,5
s21036,A,5,5
s21036,A,6,5
s21036,A,7,4
s21036,A,8,6
s21036,A,9,6
s21036,A,10,6
s21037,B,1,3
s21037,B,2,2
s21037,B,3,3
s21037,B,4,3
s21037,B,5,4
s21037,B,6,5
s21037,B,7,3
s21037,B,8,3
s21037,B,9,3
s21037,B,10,3
s21038,A,1,4
s21038,A,2,4
s21038,A,3,5
s21038,A,4,2
s21038,A,5,4
s21038,A,6,4
s21038,A,7,4
s21038,A,8,3
s21038,A,9,4
s21038,A,10,3
s21039,B,1,5
s21039,B,2,5
s21039,B,3,4
s21039,B,4,5
s21039,B,5,5
s21039,B,6,5
s21039,B,7,5
s21039,B,8,5
s21039,B,9,6
s21039,B,10,6
s21040,A,1,2
s21040,A,2,2
s21040,A,3,3
s21040,A,4,2
s21040,A,5,3
s21040,A,6,2
s21040,A,7,3
s21040,A,8,4
s21040,A,9,6
s21040,A,10,4
s21041,B,1,4
s21041,B,2,4
s21041,B,3,6
s21041,B,4,5
s21041,B,5,5
s21041,B,6,3
s21041,B,7,3
s21041,B,8,5
s21041,B,9,5
s21041,B,10,5
s21042,B,1,6
s21042,B,2,6
s21042,B,3,6
s21042,B,4,5
s21042,B,5,5
s21042,B,6,6
s21042,B,7,2
s21042,B,8,6
s21042,B,9,4
s21042,B,10,5
s21043,A,1,5
s21043,A,2,5
s21043,A,3,5
s21043,A,4,5
s21043,A,5,5
s21043,A,6,4
s21043,A,7,6
s21043,A,8,6
s21043,A,9,6
s21043,A,10,6
s21044,B,1,5
s21044,B,2,5
s21044,B,3,5
s21044,B,4,5
s21044,B,5,5
s21044,B,6,5
s21044,B,7,5
s21044,B,8,5
s21044,B,9,5
s21044,B,10,5
s21045,A,1,5
s21045,A,2,4
s21045,A,3,5
s21045,A,4,5
s21045,A,5,5
s21045,A,6,4
s21045,A,7,4
s21045,A,8,4
s21045,A,9,4
s21045,A,10,4
s21046,A,1,4
s21046,A,2,2
s21046,A,3,4
s21046,A,4,4
s21046,A,5,4
s21046,A,6,3
s21046,A,7,5
s21046,A,8,6
s21046,A,9,6
s21046,A,10,6
s21047,A,1,5
s21047,A,2,6
s21047,A,3,4
s21047,A,4,5
s21047,A,5,4
s21047,A,6,6
s21047,A,7,5
s21047,A,8,6
s21047,A,9,5
s21047,A,10,4
s21048,B,1,6
s21048,B,2,6
s21048,B,3,6
s21048,B,4,6
s21048,B,5,6
s21048,B,6,6
s21048,B,7,4
s21048,B,8,6
s21048,B,9,5
s21048,B,10,6
s21049,A,1,4
s21049,A,2,4
s21049,A,3,4
s21049,A,4,3
s21049,A,5,4
s21049,A,6,3
s21049,A,7,3
s21049,A,8,5
s21049,A,9,4
s21049,A,10,5
s21050,B,1,3
s21050,B,2,3
s21050,B,3,3
s21050,B,4,4
s21050,B,5,4
s21050,B,6,2
s21050,B,7,1
s21050,B,8,3
s21050,B,9,4
s21050,B,10,2
s21051,B,1,3
s21051,B,2,4
s21051,B,3,2
s21051,B,4,5
s21051,B,5,4
s21051,B,6,3
s21051,B,7,4
s21051,B,8,3
s21051,B,9,3
s21051,B,10,4
s21052,B,1,4
s21052,B,2,5
s21052,B,3,6
s21052,B,4,5
s21052,B,5,6
s21052,B,6,5
s21052,B,7,5
s21052,B,8,6
s21052,B,9,5
s21052,B,10,6
s21053,A,1,3
s21053,A,2,3
s21053,A,3,3
s21053,A,4,3
s21053,A,5,3
s21053,A,6,3
s21053,A,7,4
s21053,A,8,4
s21053,A,9,3
s21053,A,10,4
s21054,A,1,5
s21054,A,2,6
s21054,A,3,4
s21054,A,4,5
s21054,A,5,6
s21054,A,6,5
s21054,A,7,5
s21054,A,8,6
s21054,A,9,5
s21054,A,10,6
s21055,B,1,4
s21055,B,2,3
s21055,B,3,4
s21055,B,4,4
s21055,B,5,4
s21055,B,6,3
s21055,B,7,5
s21055,B,8,5
s21055,B,9,5
s21055,B,10,5
s21056,B,1,5
s21056,B,2,4
s21056,B,3,5
s21056,B,4,5
s21056,B,5,5
s21056,B,6,4
s21056,B,7,3
s21056,B,8,5
s21056,B,9,4
s21056,B,10,5
s21057,B,1,4
s21057,B,2,2
s21057,B,3,3
s21057,B,4,5
s21057,B,5,5
s21057,B,6,5
s21057,B,7,5
s21057,B,8,5
s21057,B,9,6
s21057,B,10,6
s21058,A,1,3
s21058,A,2,3
s21058,A,3,3
s21058,A,4,4
s21058,A,5,4
s21058,A,6,2
s21058,A,7,6
s21058,A,8,6
s21058,A,9,6
s21058,A,10,6
s21059,B,1,4
s21059,B,2,5
s21059,B,3,5
s21059,B,4,4
s21059,B,5,4
s21059,B,6,5
s21059,B,7,4
s21059,B,8,5
s21059,B,9,4
s21059,B,10,5
s21060,A,1,4
s21060,A,2,5
s21060,A,3,5
s21060,A,4,5
s21060,A,5,3
s21060,A,6,5
s21060,A,7,2
s21060,A,8,5
s21060,A,9,4
s21060,A,10,5
s21061,A,1,4
s21061,A,2,4
s21061,A,3,3
s21061,A,4,4
s21061,A,5,4
s21061,A,6,2
s21061,A,7,4
s21061,A,8,6
s21061,A,9,3
s21061,A,10,5
s21062,A,1,5
s21062,A,2,4
s21062,A,3,5
s21062,A,4,5
s21062,A,5,5
s21062,A,6,5
s21062,A,7,6
s21062,A,8,6
s21062,A,9,6
s21062,A,10,6
s21063,B,1,4
s21063,B,2,3
s21063,B,3,5
s21063,B,4,4
s21063,B,5,4
s21063,B,6,1
s21063,B,7,4
s21063,B,8,5
s21063,B,9,6
s21063,B,10,5
s21064,A,1,3
s21064,A,2,3
s21064,A,3,1
s21064,A,4,2
s21064,A,5,2
s21064,A,6,3
s21064,A,7,5
s21064,A,8,4
s21064,A,9,6
s21064,A,10,5
s21065,B,1,4
s21065,B,2,4
s21065,B,3,5
s21065,B,4,4
s21065,B,5,4
s21065,B,6,4
s21065,B,7,4
s21065,B,8,5
s21065,B,9,6
s21065,B,10,5
s21066,B,1,4
s21066,B,2,3
s21066,B,3,4
s21066,B,4,3
s21066,B,5,3
s21066,B,6,2
s21066,B,7,4
s21066,B,8,4
s21066,B,9,5
s21066,B,10,2
s21067,A,1,5
s21067,A,2,5
s21067,A,3,6
s21067,A,4,5
s21067,A,5,5
s21067,A,6,5
s21067,A,7,4
s21067,A,8,6
s21067,A,9,5
s21067,A,10,6
s21068,B,1,3
s21068,B,2,2
s21068,B,3,3
s21068,B,4,3
s21068,B,5,3
s21068,B,6,3
s21068,B,7,5
s21068,B,8,2
s21068,B,9,4
s21068,B,10,5
s21069,B,1,5
s21069,B,2,6
s21069,B,3,5
s21069,B,4,6
s21069,B,5,5
s21069,B,6,6
s21069,B,7,6
s21069,B,8,6
s21069,B,9,5
s21069,B,10,6
s21070,B,1,6
s21070,B,2,4
s21070,B,3,6
s21070,B,4,6
s21070,B,5,4
s21070,B,6,5
s21070,B,7,5
s21070,B,8,5
s21070,B,9,4
s21070,B,10,3
s21071,A,1,6
s21071,A,2,6
s21071,A,3,6
s21071,A,4,6
s21071,A,5,6
s21071,A,6,6
s21071,A,7,6
s21071,A,8,6
s21071,A,9,6
s21071,A,10,6
s21072,A,1,5
s21072,A,2,5
s21072,A,3,5
s21072,A,4,5
s21072,A,5,5
s21072,A,6,4
s21072,A,7,4
s21072,A,8,6
s21072,A,9,5
s21072,A,10,6
s21073,A,1,5
s21073,A,2,5
s21073,A,3,5
s21073,A,4,5
s21073,A,5,5
s21073,A,6,5
s21073,A,7,5
s21073,A,8,5
s21073,A,9,5
s21073,A,10,4
s21074,B,1,3
s21074,B,2,3
s21074,B,3,4
s21074,B,4,2
s21074,B,5,4
s21074,B,6,3
s21074,B,7,3
s21074,B,8,4
s21074,B,9,5
s21074,B,10,4
s21075,B,1,6
s21075,B,2,6
s21075,B,3,6
s21075,B,4,6
s21075,B,5,6
s21075,B,6,6
s21075,B,7,1
s21075,B,8,4
s21075,B,9,4
s21075,B,10,5
s21076,A,1,4
s21076,A,2,4
s21076,A,3,4
s21076,A,4,4
s21076,A,5,4
s21076,A,6,4
s21076,A,7,2
s21076,A,8,4
s21076,A,9,5
s21076,A,10,4
s21077,B,1,5
s21077,B,2,5
s21077,B,3,4
s21077,B,4,5
s21077,B,5,5
s21077,B,6,5
s21077,B,7,2
s21077,B,8,3
s21077,B,9,2
s21077,B,10,1
s21078,B,1,5
s21078,B,2,4
s21078,B,3,4
s21078,B,4,4
s21078,B,5,5
s21078,B,6,4
s21078,B,7,6
s21078,B,8,5
s21078,B,9,5
s21078,B,10,6
s21079,A,1,5
s21079,A,2,5
s21079,A,3,5
s21079,A,4,5
s21079,A,5,5
s21079,A,6,2
s21079,A,7,3
s21079,A,8,4
s21079,A,9,5
s21079,A,10,5
s21080,B,1,3
s21080,B,2,5
s21080,B,3,6
s21080,B,4,3
s21080,B,5,4
s21080,B,6,4
s21080,B,7,5
s21080,B,8,5
s21080,B,9,5
s21080,B,10,4
s21081,A,1,6
s21081,A,2,6
s21081,A,3,6
s21081,A,4,6
s21081,A,5,6
s21081,A,6,6
s21081,A,7,1
s21081,A,8,6
s21081,A,9,1
s21081,A,10,6
s21082,A,1,6
s21082,A,2,4
s21082,A,3,5
s21082,A,4,5
s21082,A,5,6
s21082,A,6,4
s21082,A,7,5
s21082,A,8,6
s21082,A,9,6
s21082,A,10,6
s21083,A,1,6
s21083,A,2,6
s21083,A,3,5
s21083,A,4,5
s21083,A,5,6
s21083,A,6,5
s21083,A,7,5
s21083,A,8,6
s21083,A,9,3
s21083,A,10,5
s21084,A,1,3
s21084,A,2,2
s21084,A,3,3
s21084,A,4,4
s21084,A,5,5
s21084,A,6,4
s21084,A,7,4
s21084,A,8,4
s21084,A,9,6
s21084,A,10,4
s21085,B,1,5
s21085,B,2,5
s21085,B,3,5
s21085,B,4,5
s21085,B,5,5
s21085,B,6,5
s21085,B,7,6
s21085,B,8,6
s21085,B,9,6
s21085,B,10,6
s21086,A,1,4
s21086,A,2,3
s21086,A,3,4
s21086,A,4,4
s21086,A,5,4
s21086,A,6,3
s21086,A,7,3
s21086,A,8,6
s21086,A,9,4
s21086,A,10,5
s21087,B,1,6
s21087,B,2,5
s21087,B,3,4
s21087,B,4,6
s21087,B,5,6
s21087,B,6,5
s21087,B,7,5
s21087,B,8,6
s21087,B,9,5
s21087,B,10,6
s21088,B,1,4
s21088,B,2,3
s21088,B,3,4
s21088,B,4,4
s21088,B,5,3
s21088,B,6,4
s21088,B,7,4
s21088,B,8,4
s21088,B,9,6
s21088,B,10,4
s21089,B,1,4
s21089,B,2,3
s21089,B,3,4
s21089,B,4,4
s21089,B,5,4
s21089,B,6,4
s21089,B,7,3
s21089,B,8,4
s21089,B,9,5
s21089,B,10,5
s21090,A,1,1
s21090,A,2,1
s21090,A,3,1
s21090,A,4,1
s21090,A,5,2
s21090,A,6,3
s21090,A,7,3
s21090,A,8,3
s21090,A,9,3
s21090,A,10,3
s21091,A,1,5
s21091,A,2,2
s21091,A,3,3
s21091,A,4,3
s21091,A,5,4
s21091,A,6,1
s21091,A,7,4
s21091,A,8,5
s21091,A,9,6
s21091,A,10,5
s21092,B,1,4
s21092,B,2,4
s21092,B,3,4
s21092,B,4,4
s21092,B,5,4
s21092,B,6,4
s21092,B,7,5
s21092,B,8,5
s21092,B,9,6
s21092,B,10,6
s21093,A,1,4
s21093,A,2,5
s21093,A,3,5
s21093,A,4,4
s21093,A,5,4
s21093,A,6,5
s21093,A,7,6
s21093,A,8,6
s21093,A,9,6
s21093,A,10,6
s21094,B,1,4
s21094,B,2,5
s21094,B,3,5
s21094,B,4,4
s21094,B,5,5
s21094,B,6,3
s21094,B,7,5
s21094,B,8,5
s21094,B,9,5
s21094,B,10,5
s21095,A,1,5
s21095,A,2,4
s21095,A,3,5
s21095,A,4,4
s21095,A,5,5
s21095,A,6,4
s21095,A,7,5
s21095,A,8,6
s21095,A,9,5
s21095,A,10,6
s21096,B,1,6
s21096,B,2,5
s21096,B,3,5
s21096,B,4,4
s21096,B,5,5
s21096,B,6,5
s21096,B,7,2
s21096,B,8,5
s21096,B,9,4
s21096,B,10,5
s21097,B,1,2
s21097,B,2,1
s21097,B,3,5
s21097,B,4,3
s21097,B,5,3
s21097,B,6,1
s21097,B,7,5
s21097,B,8,5
s21097,B,9,6
s21097,B,10,5
s21098,A,1,5
s21098,A,2,5
s21098,A,3,4
s21098,A,4,4
s21098,A,5,3
s21098,A,6,4
s21098,A,7,5
s21098,A,8,5
s21098,A,9,5
s21098,A,10,4
s21099,A,1,5
s21099,A,2,5
s21099,A,3,6
s21099,A,4,4
s21099,A,5,4
s21099,A,6,5
s21099,A,7,6
s21099,A,8,5
s21099,A,9,6
s21099,A,10,5
s21100,B,1,4
s21100,B,2,5
s21100,B,3,4
s21100,B,4,4
s21100,B,5,4
s21100,B,6,5
s21100,B,7,3
s21100,B,8,5
s21100,B,9,4
s21100,B,10,5
s21101,A,1,4
s21101,A,2,3
s21101,A,3,4
s21101,A,4,4
s21101,A,5,5
s21101,A,6,3
s21101,A,7,3
s21101,A,8,4
s21101,A,9,5
s21101,A,10,5
s21102,A,1,6
s21102,A,2,6
s21102,A,3,6
s21102,A,4,6
s21102,A,5,6
s21102,A,6,6
s21102,A,7,6
s21102,A,8,6
s21102,A,9,6
s21102,A,10,6
s21103,B,1,4
s21103,B,2,4
s21103,B,3,4
s21103,B,4,4
s21103,B,5,4
s21103,B,6,4
s21103,B,7,6
s21103,B,8,5
s21103,B,9,6
s21103,B,10,4
s21104,B,1,5
s21104,B,2,5
s21104,B,3,6
s21104,B,4,3
s21104,B,5,6
s21104,B,6,6
s21104,B,7,6
s21104,B,8,5
s21104,B,9,5
s21104,B,10,6
s21105,A,1,5
s21105,A,2,4
s21105,A,3,4
s21105,A,4,6
s21105,A,5,6
s21105,A,6,5
s21105,A,7,6
s21105,A,8,6
s21105,A,9,6
s21105,A,10,6
s21106,A,1,5
s21106,A,2,4
s21106,A,3,5
s21106,A,4,3
s21106,A,5,3
s21106,A,6,3
s21106,A,7,4
s21106,A,8,5
s21106,A,9,5
s21106,A,10,6
s21107,A,1,4
s21107,A,2,4
s21107,A,3,4
s21107,A,4,5
s21107,A,5,5
s21107,A,6,4
s21107,A,7,4
s21107,A,8,5
s21107,A,9,4
s21107,A,10,5
s21108,B,1,3
s21108,B,2,3
s21108,B,3,4
s21108,B,4,3
s21108,B,5,3
s21108,B,6,4
s21108,B,7,6
s21108,B,8,5
s21108,B,9,6
s21108,B,10,4
s21109,B,1,3
s21109,B,2,4
s21109,B,3,5
s21109,B,4,3
s21109,B,5,3
s21109,B,6,4
s21109,B,7,4
s21109,B,8,3
s21109,B,9,3
s21109,B,10,4
